date,average,count,min,max,company_name,measurement_network_name,measurement_network_displayname,measurement_network_id,measurement_network_tag
2022-03-10T15:00:00,17498,23,5243,64875,Amazon AWS,aws-me-south-1b,"AWS Middle East (Bahrain, BH) Zone ",1028,aws_me_south_1b
2022-03-10T15:00:00,17498,23,5243,64875,Amazon AWS,aws-me-south-1c,"AWS Middle East (Bahrain, BH) Zone C",1029,aws_me_south_1c
2022-03-10T15:00:00,17498,23,5243,64875,Amazon AWS,aws-me-south-1a,"AWS Middle East (Bahrain, BH) Zone A",1030,aws_me_south_1a
2022-03-10T16:00:00,22627,24,4981,163368,Amazon AWS,aws-me-south-1b,"AWS Middle East (Bahrain, BH) Zone ",1028,aws_me_south_1b
2022-03-10T16:00:00,22627,24,4981,163368,Amazon AWS,aws-me-south-1c,"AWS Middle East (Bahrain, BH) Zone C",1029,aws_me_south_1c
2022-03-10T16:00:00,22627,24,4981,163368,Amazon AWS,aws-me-south-1a,"AWS Middle East (Bahrain, BH) Zone A",1030,aws_me_south_1a
2022-03-10T17:00:00,26968,24,4014,86455,Amazon AWS,aws-me-south-1b,"AWS Middle East (Bahrain, BH) Zone ",1028,aws_me_south_1b
2022-03-10T17:00:00,26968,24,4014,86455,Amazon AWS,aws-me-south-1c,"AWS Middle East (Bahrain, BH) Zone C",1029,aws_me_south_1c
2022-03-10T17:00:00,26968,24,4014,86455,Amazon AWS,aws-me-south-1a,"AWS Middle East (Bahrain, BH) Zone A",1030,aws_me_south_1a
2022-03-10T18:00:00,30817,27,4490,177281,Amazon AWS,aws-me-south-1b,"AWS Middle East (Bahrain, BH) Zone ",1028,aws_me_south_1b
2022-03-10T18:00:00,30817,27,4490,177281,Amazon AWS,aws-me-south-1c,"AWS Middle East (Bahrain, BH) Zone C",1029,aws_me_south_1c
2022-03-10T18:00:00,30817,27,4490,177281,Amazon AWS,aws-me-south-1a,"AWS Middle East (Bahrain, BH) Zone A",1030,aws_me_south_1a
2022-03-10T19:00:00,14864,23,4680,38733,Amazon AWS,aws-me-south-1b,"AWS Middle East (Bahrain, BH) Zone ",1028,aws_me_south_1b
2022-03-10T19:00:00,14864,23,4680,38733,Amazon AWS,aws-me-south-1c,"AWS Middle East (Bahrain, BH) Zone C",1029,aws_me_south_1c
2022-03-10T19:00:00,14864,23,4680,38733,Amazon AWS,aws-me-south-1a,"AWS Middle East (Bahrain, BH) Zone A",1030,aws_me_south_1a
2022-03-10T20:00:00,27718,24,5600,75831,Amazon AWS,aws-me-south-1b,"AWS Middle East (Bahrain, BH) Zone ",1028,aws_me_south_1b
2022-03-10T20:00:00,27718,24,5600,75831,Amazon AWS,aws-me-south-1c,"AWS Middle East (Bahrain, BH) Zone C",1029,aws_me_south_1c
2022-03-10T20:00:00,27718,24,5600,75831,Amazon AWS,aws-me-south-1a,"AWS Middle East (Bahrain, BH) Zone A",1030,aws_me_south_1a
2022-03-10T21:00:00,30163,24,6576,80261,Amazon AWS,aws-me-south-1b,"AWS Middle East (Bahrain, BH) Zone ",1028,aws_me_south_1b
2022-03-10T21:00:00,30163,24,6576,80261,Amazon AWS,aws-me-south-1c,"AWS Middle East (Bahrain, BH) Zone C",1029,aws_me_south_1c
2022-03-10T21:00:00,30163,24,6576,80261,Amazon AWS,aws-me-south-1a,"AWS Middle East (Bahrain, BH) Zone A",1030,aws_me_south_1a
2022-03-10T22:00:00,31315,24,5488,247240,Amazon AWS,aws-me-south-1b,"AWS Middle East (Bahrain, BH) Zone ",1028,aws_me_south_1b
2022-03-10T22:00:00,31315,24,5488,247240,Amazon AWS,aws-me-south-1c,"AWS Middle East (Bahrain, BH) Zone C",1029,aws_me_south_1c
2022-03-10T22:00:00,31315,24,5488,247240,Amazon AWS,aws-me-south-1a,"AWS Middle East (Bahrain, BH) Zone A",1030,aws_me_south_1a
