date,average,count,min,max,measurement_network_name,measurement_network_displayname,measurement_network_id,measurement_network_tag
2022-03-10T15:00:00,17498.0,23.0,5243.0,64875.0,,,,
2022-03-10T16:00:00,22627.0,24.0,4981.0,163368.0,,,,
2022-03-10T17:00:00,26968.0,24.0,4014.0,86455.0,,,,
2022-03-10T18:00:00,30817.0,27.0,4490.0,177281.0,,,,
2022-03-10T19:00:00,14864.0,23.0,4680.0,38733.0,,,,
2022-03-10T20:00:00,27718.0,24.0,5600.0,75831.0,,,,
2022-03-10T21:00:00,30163.0,24.0,6576.0,80261.0,,,,
2022-03-10T22:00:00,31315.0,24.0,5488.0,247240.0,,,,
2022-03-10T23:00:00,17844.0,25.0,5948.0,40661.0,,,,
2022-03-11T00:00:00,15105.0,26.0,4016.0,59595.0,,,,
2022-03-11T01:00:00,20091.0,24.0,6548.0,57911.0,,,,
2022-03-11T02:00:00,18875.0,24.0,5715.0,59906.0,,,,
2022-03-11T03:00:00,31085.0,24.0,7623.0,223527.0,,,,
2022-03-11T04:00:00,21481.0,27.0,5319.0,159441.0,,,,
2022-03-11T05:00:00,16930.0,24.0,4509.0,41824.0,,,,
2022-03-11T06:00:00,24486.0,24.0,5404.0,72741.0,,,,
2022-03-11T07:00:00,25297.0,27.0,3674.0,217611.0,,,,
2022-03-11T08:00:00,17597.0,24.0,5566.0,83927.0,,,,
2022-03-11T09:00:00,23713.0,24.0,5324.0,94904.0,,,,
2022-03-11T10:00:00,24691.0,24.0,5034.0,66713.0,,,,
2022-03-11T11:00:00,24556.0,24.0,7751.0,74549.0,,,,
2022-03-11T12:00:00,28188.0,25.0,5329.0,214712.0,,,,
2022-03-11T13:00:00,27070.0,26.0,3714.0,103387.0,,,,
2022-03-11T14:00:00,18581.0,19.0,5866.0,47493.0,,,,
2022-03-11T15:00:00,18879.0,24.0,5778.0,63518.0,,,,
2022-03-11T16:00:00,17440.0,23.0,5941.0,64634.0,,,,
2022-03-11T17:00:00,23376.0,26.0,5644.0,168220.0,,,,
2022-03-11T18:00:00,34339.0,22.0,6125.0,379426.0,,,,
2022-03-11T19:00:00,36396.0,23.0,4626.0,183653.0,,,,
2022-03-11T20:00:00,17816.0,23.0,4030.0,45591.0,,,,
2022-03-11T21:00:00,40390.0,24.0,4744.0,511510.0,,,,
2022-03-11T22:00:00,19098.0,24.0,5317.0,71171.0,,,,
